slice,level,group_n,group_base_rate,n_flagged,selection_rate,precision_in_group,small_slice
Gender,0,564,0.24468085106382978,43,0.07624113475177305,1.0,False
Gender,1,321,0.45482866043613707,46,0.14330218068535824,1.0,False
Age at enrollment,18,227,0.18061674008810572,5,0.022026431718061675,1.0,False
Age at enrollment,19,185,0.23243243243243245,7,0.03783783783783784,1.0,False
Age at enrollment,20,101,0.1782178217821782,3,0.0297029702970297,1.0,False
Age at enrollment,21,49,0.3673469387755102,4,0.08163265306122448,1.0,True
Age at enrollment,22,34,0.35294117647058826,2,0.058823529411764705,1.0,True
Age at enrollment,23,25,0.36,2,0.08,1.0,True
Age at enrollment,24,31,0.3870967741935484,2,0.06451612903225806,1.0,True
Age at enrollment,25,18,0.2777777777777778,1,0.05555555555555555,1.0,True
Age at enrollment,26,17,0.47058823529411764,4,0.23529411764705882,1.0,True
Age at enrollment,27,14,0.6428571428571429,3,0.21428571428571427,1.0,True
Age at enrollment,28,19,0.5263157894736842,7,0.3684210526315789,1.0,True
Age at enrollment,29,15,0.8,6,0.4,1.0,True
Age at enrollment,30,13,0.5384615384615384,3,0.23076923076923078,1.0,True
Age at enrollment,31,8,0.625,2,0.25,1.0,True
Age at enrollment,32,10,0.3,2,0.2,1.0,True
Age at enrollment,33,11,0.5454545454545454,3,0.2727272727272727,1.0,True
Age at enrollment,34,7,0.8571428571428571,2,0.2857142857142857,1.0,True
Age at enrollment,35,11,0.6363636363636364,2,0.18181818181818182,1.0,True
Age at enrollment,36,5,0.6,0,0.0,,True
Age at enrollment,37,11,0.6363636363636364,6,0.5454545454545454,1.0,True
Age at enrollment,38,5,0.6,1,0.2,1.0,True
Age at enrollment,39,8,0.625,2,0.25,1.0,True
Age at enrollment,40,4,0.75,2,0.5,1.0,True
Age at enrollment,41,11,0.45454545454545453,3,0.2727272727272727,1.0,True
Age at enrollment,42,4,1.0,3,0.75,1.0,True
Age at enrollment,43,4,0.25,1,0.25,1.0,True
Age at enrollment,44,4,0.75,1,0.25,1.0,True
Age at enrollment,45,5,0.8,1,0.2,1.0,True
Age at enrollment,46,3,0.3333333333333333,1,0.3333333333333333,1.0,True
Age at enrollment,47,2,0.5,1,0.5,1.0,True
Age at enrollment,48,3,0.6666666666666666,1,0.3333333333333333,1.0,True
Age at enrollment,49,2,0.5,1,0.5,1.0,True
Age at enrollment,50,3,1.0,1,0.3333333333333333,1.0,True
Age at enrollment,51,3,0.6666666666666666,2,0.6666666666666666,1.0,True
Age at enrollment,52,1,0.0,0,0.0,,True
Age at enrollment,53,4,0.0,0,0.0,,True
Age at enrollment,54,2,0.5,0,0.0,,True
Age at enrollment,55,1,1.0,1,1.0,1.0,True
Age at enrollment,57,1,1.0,0,0.0,,True
Age at enrollment,58,2,0.5,0,0.0,,True
Age at enrollment,59,1,0.0,0,0.0,,True
Age at enrollment,70,1,1.0,1,1.0,1.0,True
International,0,859,0.3213038416763679,86,0.10011641443538999,1.0,False
International,1,26,0.3076923076923077,3,0.11538461538461539,1.0,True
Displaced,0,385,0.36883116883116884,56,0.14545454545454545,1.0,False
Displaced,1,500,0.284,33,0.066,1.0,False
Scholarship holder,0,654,0.38990825688073394,86,0.13149847094801223,1.0,False
Scholarship holder,1,231,0.12554112554112554,3,0.012987012987012988,1.0,False
Debtor,0,795,0.2918238993710692,63,0.07924528301886792,1.0,False
Debtor,1,90,0.5777777777777777,26,0.28888888888888886,1.0,False
